Shipment_ID,Order_Date,Shipment_Date,Delivery_Date,Customer_ID,Customer_Region,Warehouse_Location,Product_Category,Shipping_Method,Shipping_Cost,Delivery_Status,Quantity_Shipped,Weight_Shipped,Distance_Shipped,Shipping_Provider,Handling_Cost,Fuel_Surcharge,Shipment_Value,Return_Status,Damaged_Goods,Customer_Satisfaction_Score,Delivery_Days,Carrier_On_Time_Percentage
1,1/1/2019,1/4/2019,1/8/2019,1009,Europe,Berlin,Electronics,Ground,35.85172132,On-Time,43,58.19226642,2893.037707,FedEx,10.52354293,2.97957429,95.34710019,Yes,Yes,2.929445666,7,84.14312641
2,1/2/2019,1/6/2019,1/7/2019,1983,Asia,São Paulo,Food,Air,56.02051808,On-Time,25,37.32388337,335.0211622,UPS,16.36729381,1.825971311,799.9138127,Yes,No,3.764708578,9,85.22512856
3,1/3/2019,1/4/2019,1/8/2019,3425,North America,New York,Furniture,Ground,82.60172693,On-Time,25,2.324669707,2176.750795,UPS,4.289674148,6.165878381,556.4248812,Yes,No,1.970428068,3,92.7892413
4,1/4/2019,1/7/2019,1/12/2019,2656,North America,Berlin,Electronics,Air,14.48781188,On-Time,49,13.19850703,684.7869763,UPS,9.126939725,2.338483691,599.2336401,No,Yes,3.139515262,6,87.02759723
5,1/5/2019,1/8/2019,1/9/2019,2660,Africa,São Paulo,Food,Air,64.3063791,Delayed,21,75.54601667,1370.658491,DHL,6.886291934,0.799151093,99.9575172,Yes,Yes,3.73868651,7,81.51538379
6,1/6/2019,1/10/2019,1/14/2019,3729,North America,New York,Food,Air,82.61003283,Delayed,9,47.4182426,961.8641054,DHL,7.249857869,0.005541846,292.5481111,No,Yes,2.794963003,7,82.62495241
7,1/7/2019,1/8/2019,1/13/2019,3631,North America,Tokyo,Apparel,Sea,24.12255448,Delayed,48,15.40889435,4416.047744,UPS,4.218601159,6.083194014,656.4365896,Yes,No,4.452103844,6,87.07520458
8,1/8/2019,1/9/2019,1/11/2019,3199,North America,Tokyo,Toys,Air,11.35202878,Delayed,38,26.76410499,3542.976541,UPS,16.50374899,3.621487835,866.2227956,Yes,No,4.477836411,6,97.56554617
9,1/9/2019,1/12/2019,1/16/2019,1719,Africa,Johannesburg,Electronics,Ground,38.14419656,On-Time,22,94.80977153,4343.628269,FedEx,2.166361662,7.523109707,921.1342273,No,Yes,2.882764871,5,87.20157497
10,1/10/2019,1/12/2019,1/14/2019,2072,Asia,Berlin,Apparel,Sea,62.93293361,On-Time,43,37.02971711,1923.479544,DHL,7.625098226,3.751763983,525.398521,Yes,Yes,4.891702842,7,81.15219947
